,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 전날변동율,kospi 야간변동율,ks200 전날변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,nas 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,snp 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,VKOSPI_Label
2023-09-07,-0.05,0.27,-0.09,0.088,0.079,-0.73,-0.33,-0.72,-0.272,-1.06,-0.832,199.53,1.07,5.622,18.336,38054.0,118928.0,-0.7,-0.554,47.97,0.071,3.14,1.261,1.17,1.0
2023-09-08,-0.44,0.24,-0.2,0.11,0.103,-0.59,-0.086,-0.33,-0.134,-0.89,0.539,132.16,0.91,15.031,-2.269,107451.0,-17418.0,-0.32,0.374,27.35,0.1,-0.35,-2.768,1.29,0.0
2023-09-11,0.35,0.21,0.04,0.116,0.657,-0.02,0.086,-0.1,0.036,0.09,0.05,110.19,0.98,31.97,41.154,262900.0,308696.0,0.14,0.139,25.15,0.103,-3.89,-2.672,1.29,0.0
2023-09-12,0.47,0.1,0.11,0.061,0.074,0.36,0.373,0.35,0.275,1.14,0.244,132.33,0.98,0.945,1.444,10255.0,15288.0,0.67,0.145,22.88,0.042,-0.29,-2.611,0.59,1.0
2023-09-13,0.21,0.07,0.04,0.055,0.07,-0.79,-0.014,-0.6,0.086,-1.04,-0.616,149.91,0.88,46.43,31.33,508632.0,336505.0,-0.57,-0.254,30.28,0.043,3.12,1.498,0.71,1.0
2023-09-14,0.11,0.03,0.02,0.132,0.109,-0.07,0.402,0.13,0.402,0.29,0.29,134.75,0.92,4.785,9.733,76753.0,137289.0,0.12,0.107,25.87,0.121,-5.27,-6.519,1.27,0.0
2023-09-15,-0.89,0.03,0.02,0.049,0.034,1.51,0.081,1.55,0.108,0.81,0.261,146.91,1.1,-2.324,16.478,-39059.0,255066.0,0.84,0.386,33.3,0.038,-4.9,-4.257,0.67,0.0
2023-09-18,1.92,2.38,-0.13,0.071,0.15,1.1,-0.484,1.11,-0.58,-1.56,-1.302,211.51,1.2,-56.424,-52.5,-926376.0,-946547.0,-1.22,-1.06,50.77,0.072,7.57,8.583,1.49,1.0
2023-09-19,2.28,2.25,0.01,0.039,0.046,-1.02,0.18,-1.25,0.244,0.01,0.295,87.82,1.16,-33.587,-35.781,-240293.0,-306428.0,0.07,0.189,24.25,0.036,1.52,-2.778,0.89,1.0
2023-09-20,1.93,2.2,-0.08,0.033,0.031,-0.6,-0.104,-0.54,-0.083,-0.23,0.211,126.28,0.93,12.389,-9.872,58867.0,-54290.0,-0.22,-0.033,33.24,0.028,0.79,0.0,1.02,0.0
2023-09-21,1.85,2.18,-0.1,0.049,0.031,0.02,-0.583,-0.02,-0.596,-1.53,-1.759,260.53,0.9,-13.694,-16.071,-73128.0,-79662.0,-0.94,-1.137,59.65,0.039,7.3,6.77,1.58,1.0
2023-09-22,1.16,2.1,-0.28,0.055,0.053,-1.75,-0.935,-1.69,-0.943,-1.82,-0.781,139.67,0.82,56.807,42.404,261812.0,176409.0,-1.64,-1.014,46.53,0.043,15.85,13.234,2.44,0.0
2023-09-25,0.83,2.07,-0.37,0.12,0.125,-0.27,-0.161,-0.31,-0.187,-0.09,-0.567,152.58,1.06,-3.402,24.434,-24587.0,144753.0,-0.23,-0.499,40.91,0.115,-1.94,-0.635,1.48,0.0
2023-09-26,1.52,1.96,-0.13,0.137,0.09,-0.49,-0.085,-0.13,-0.021,0.45,0.75,145.83,0.69,1.702,-33.137,11884.0,-244281.0,0.4,0.622,35.81,0.126,-1.74,-2.029,1.62,1.0
2023-09-27,1.45,2.71,-0.38,0.124,0.112,-1.31,-0.608,-1.41,-0.566,-1.57,-0.89,165.73,1.04,-4.23,43.365,-30035.0,213744.0,-1.47,-0.912,47.03,0.086,12.07,5.047,2.33,0.0
2023-10-04,2.29,2.67,-0.12,0.075,0.078,0.09,-1.188,-0.06,-1.255,-1.87,-1.287,271.44,0.97,27.653,19.408,188026.0,137145.0,-1.37,-0.944,64.7,0.071,12.32,11.061,2.96,1.0
2023-10-05,0.65,2.38,-0.54,0.059,0.056,-2.41,0.734,-2.22,0.629,1.35,1.093,186.25,1.21,15.01,43.31,130285.0,365440.0,0.81,0.707,48.02,0.069,-6.07,-10.328,2.58,1.0
2023-10-06,1.17,2.35,-0.37,0.054,0.053,-0.09,0.217,-0.27,0.217,-0.12,-0.063,163.61,1.1,-2.268,-11.59,-22640.0,-140148.0,-0.13,-0.026,41.22,0.046,-0.48,-0.964,1.32,1.0
2023-10-10,1.56,2.31,-0.23,0.07,0.056,0.21,1.156,0.11,1.264,0.39,1.186,231.82,0.97,-4.057,-15.468,-39586.0,-165364.0,0.63,1.087,57.94,0.086,1.43,-9.417,2.04,1.0
2023-10-11,2.34,2.17,0.05,0.109,0.105,-0.26,1.413,0.05,1.52,0.58,0.422,167.82,0.93,64.797,59.366,606524.0,536494.0,0.52,0.426,45.82,0.096,-3.79,-3.785,1.35,0.0
2023-10-12,2.26,2.18,0.02,0.093,0.105,1.98,0.617,1.76,0.662,0.71,0.297,121.82,0.91,32.345,29.173,498944.0,420145.0,0.43,0.237,33.3,0.084,-5.52,-5.074,1.69,0.0
2023-10-13,1.6,2.17,-0.17,0.043,0.036,1.21,-0.765,1.27,-0.833,-0.63,-0.719,222.58,1.03,-8.573,3.52,-175019.0,65484.0,-0.62,-0.715,60.42,0.033,3.73,3.794,2.64,0.0
2023-10-16,2.08,2.11,-0.01,0.081,0.124,-0.95,-0.559,-0.94,-0.513,-1.23,-1.516,257.69,1.1,-77.699,-76.269,-1450242.0,-1468807.0,-0.5,-0.75,65.13,0.064,15.76,16.878,4.28,1.0
2023-10-17,1.56,2.0,-0.14,0.027,0.038,-0.81,0.735,-0.76,0.745,1.2,0.849,150.88,0.99,75.194,57.66,312992.0,263523.0,1.06,0.72,40.96,0.025,-10.92,-9.895,2.43,0.0
2023-10-18,1.45,1.99,-0.16,0.076,0.051,0.98,-0.33,1.26,-0.315,-0.25,0.849,237.51,1.16,0.401,17.694,2923.0,127496.0,-0.01,0.644,56.03,0.042,3.89,2.7,1.57,0.0
2023-10-19,1.38,1.96,-0.18,0.124,0.114,0.1,-1.246,0.45,-1.238,-1.62,-0.933,224.44,1.2,-26.456,-23.508,-193700.0,-199357.0,-1.34,-0.981,60.36,0.12,7.49,4.684,2.27,1.0
2023-10-20,0.94,1.89,-0.29,0.097,0.085,-1.9,-1.004,-1.84,-1.026,-0.96,-1.263,247.4,1.18,24.843,22.575,133771.0,146442.0,-0.85,-1.003,69.85,0.08,11.34,8.464,2.85,1.0
